x,y
2141,207
2142,204
2143,202
2144,198
2145,196
2146,195
2147,193
2148,193
2149,186
2150,183
2151,178
2152,173
2153,174
2154,173
2155,173
2156,172
2157,169
2158,169
2159,167
2160,167
2161,167
2162,164
2163,163
2164,159
2165,157
2166,157
2167,157
2168,157
2169,157
2170,157
2171,157
2172,159
2173,158
2174,161
2175,159
2176,158
2177,157
2178,157
2179,157
2180,157
2181,158
2182,158
2183,159
2184,157
2185,158
2186,161
2187,161
2188,162
2189,163
2190,163
2191,165
2192,165
2193,167
2194,166
2195,166
2196,166
2197,163
2198,163
2199,161
2200,159
2201,159
2202,158
2203,160
2204,161
2205,161
2206,161
2207,163
2208,163
2209,164
2210,167
2211,168
2212,172
2213,175
2214,177
2215,180
2216,181
2217,186
2218,187
2219,193
2220,198
2221,202
2222,207
2223,209
2224,213
2225,215
2226,218
2227,223
2228,226
2229,230
2230,232
2231,234
2232,236
2233,241
2234,241
2235,243
2236,244
2237,249
2238,251
2239,255
2240,258
2241,262
2242,264
2243,267
2244,269
2245,272
2246,277
2247,282
2248,286
2249,289
2250,289
2251,291
2252,294
2253,297
2254,301
2255,305
2256,307
2257,312
2258,312
2259,316
2260,319
2261,325
2262,327
2263,331
2264,332
2265,336
2266,340
2267,343
2268,350
2269,351
2270,356
2271,358
2272,362
2273,366
2274,374
2275,377
2276,382
2277,382
2278,387
2279,389
2280,392
2281,397
2282,399
2283,402
2284,406
2285,408
2286,412
2287,416
2288,420
2289,422
2290,424
2291,427
2292,431
2293,436
2294,440
2295,442
2296,444
2297,447
2298,451
2299,455
2300,457
2301,460
2302,460
2303,465
2304,468
2305,472
2306,474
2307,481
2308,482
2309,486
2310,489
2311,492
2312,494
2313,496
2314,498
2315,498
2316,499
2317,502
2318,504
2319,507
2320,508
2321,512
2322,512
2323,514
2324,517
2325,520
2326,524
2327,526
2328,527
2329,527
2330,527
2331,529
2332,531
2333,533
2334,534
2335,536
2336,537
2337,538
2338,540
2339,540
2340,543
2343,543
2344,543
2345,545
2346,547
2347,547
2348,549
2349,549
2350,549
2351,551
2352,551
2353,553
2354,553
2355,553
2356,553
2357,553
2358,553
2359,553
2360,554
2361,555
2362,557
2363,557
2364,558
2365,558
2366,562
2367,563
2368,565
2369,566
2370,567
2371,569
2372,569
2373,569
2374,569
2375,569
2376,569
2377,570
2378,573
2379,575
2380,577
2381,578
2382,578
2383,578
2384,579
2385,581
2386,582
2387,581
2388,579
2389,579
2390,577
2391,581
2392,582
2393,582
2394,582
2395,582
2396,583
2397,585
2398,585
2399,587
2400,588
2401,587
2402,586
2403,585
2404,586
2405,586
2406,586
2407,588
2408,588
2409,588
2410,588
2411,588
2412,588
2413,591
2414,591
2415,589
2416,588
2417,587
2418,587
2419,587
2420,588
2421,588
2422,588
2423,588
2424,588
2425,588
2426,588
2427,588
2428,588
2429,588
2430,588
2431,588
2432,591
2433,590
2434,592
2435,592
2436,592
2437,592
2438,593
2439,595
2440,597
2441,595
2442,595
2443,593
2444,595
2445,597
2450,598
2451,599
2452,601
2453,601
2454,598
2455,596
2456,595
2457,595
2458,595
2459,597
2460,597
2465,598
2467,598
2468,599
2469,597
2470,598
2472,598
2473,599
2474,600
2475,602
2476,602
2477,602
2478,602
2479,602
2480,602
2481,603
2482,604
2483,604
2484,604
2485,604
2486,604
2487,604
2488,602
2489,602
2490,602
2491,603
2492,602
2493,604
2494,604
2495,604
2496,606
2497,606
2498,608
2499,608
2500,607
2501,607
2502,604
2503,604
2504,605
2505,606
2506,608
2507,608
2508,606
2509,605
2510,604
2511,604
2512,604
2513,604
2514,604
2515,604
2516,604
2517,604
2518,604
2519,604
2520,604
2521,604
2522,602
2523,603
2524,603
2525,604
2526,604
2527,606
2528,606
2529,608
2530,608
2531,608
2532,608
2533,611
2534,611
2535,612
2536,612
2537,612
2538,612
2539,611
2540,609
2541,608
2542,608
2543,611
2544,611
2545,612
2546,612
2547,612
2548,612
2549,612
2550,612
2551,612
2552,612
2553,610
2554,609
2555,609
2556,610
2557,612
2558,612
2559,612
2560,612
2561,612
2562,612
2563,612
2564,612
2565,611
2566,611
2567,611
2568,610
2569,612
2570,612
2571,612
2572,612
2573,613
2574,616
2575,616
2576,617
2577,617
2578,614
2579,613
2580,612
2581,614
2582,614
2583,617
2584,617
2585,615
2586,612
2587,611
2588,611
2589,611
2590,612
2591,614
2592,614
2593,614
2594,612
2595,612
2596,612
2597,612
2598,614
2599,615
2600,617
2601,614
2602,614
2603,612
2604,612
2605,612
2606,610
2607,611
2608,611
2609,616
2610,616
2611,617
2612,617
2613,617
2614,616
2615,616
2616,614
2617,614
2618,617
2619,617
2620,617
2621,617
2622,617
2623,617
2624,617
2625,617
2626,617
2627,617
2628,617
2629,617
2630,617
2631,618
2632,620
2633,620
2634,621
2635,619
2636,618
2637,617
2638,617
2639,617
2640,617
2641,614
2642,614
2643,613
2644,616
2645,616
2646,617
2647,617
2648,617
2649,617
2650,617
2651,617
2652,614
2653,614
2654,616
2655,616
2656,617
2657,617
2658,617
2659,617
2660,617
2661,617
2662,617
2663,617
2664,617
2665,617
2666,617
2667,614
2668,614
2669,612
2670,613
2671,614
2672,617
2673,618
2674,619
2675,621
2676,618
2677,619
2678,617
2679,617
2680,617
2681,617
2682,617
2683,617
2684,617
2685,617
2686,617
2687,617
2688,617
2689,617
2690,617
2691,618
2692,620
2693,620
2694,618
2695,617
2696,617
2697,617
2698,618
2699,619
2700,621
2701,620
2702,620
2703,620
2704,621
2705,622
2706,622
2707,624
2708,624
2709,624
2710,623
2711,622
2712,620
2713,618
2714,616
2715,616
2716,614
2717,614
2718,617
2719,617
2720,617
2721,618
2722,620
2723,620
2724,623
2725,625
2726,626
2727,626
2728,626
2729,627
2730,627
2731,628
2732,628
2733,628
2734,628
2735,628
2736,628
2737,630
2738,630
2740,633
2741,630
2742,630
2743,628
2744,628
2745,628
2746,628
2747,628
2748,628
2749,628
2750,628
2751,626
2752,627
2753,624
2754,624
2755,623
2756,622
2757,624
2758,624
2759,622
2760,621
2761,620
2762,620
2763,620
2764,621
2765,621
2766,620
2767,620
2768,620
2769,621
2770,621
2771,620
2772,618
2773,616
2774,613
2775,613
2776,616
2777,617
2778,617
2779,617
2780,615
2781,614
2782,612
2783,612
2784,613
2785,613
2786,616
2787,617
2788,613
2789,607
2790,604
2791,590
2792,586
2793,575
2794,570
2795,568
2796,561
2797,553
2798,545
2799,538
2800,537
2801,534
2802,532
2803,529
2804,528
2805,530
2806,533
2807,540
2808,544
2809,549
2810,552
2811,557
2812,561
2813,563
2814,568
2815,571
2816,573
2817,574
2818,574
2819,570
2820,570
2821,569
2822,569
2823,569
2824,567
2825,566
2826,565
2827,565
2828,563
2829,562
2830,562
2831,562
2832,562
2833,562
2834,562
2835,562
2836,562
2837,562
2838,561
2839,558
2840,558
2841,557
2842,557
2843,555
2844,552
2845,549
2846,548
2847,545
2848,542
2849,539
2850,532
2851,528
2852,525
2853,522
2854,522
2855,520
2856,520
2857,518
2858,516
2859,515
2860,513
2861,512
2862,510
2863,508
2864,507
2865,505
2866,502
2867,497
2868,492
2869,488
2870,483
2871,481
2872,476
2873,476
2874,471
2875,468
2876,464
2877,459
2878,457
2879,451
2880,445
2881,439
2882,432
2883,427
2884,424
2885,421
2886,416
2887,412
2888,409
2889,405
2890,400
2891,395
2892,390
2893,383
2894,380
2895,374
2896,371
2897,368
2898,363
2899,356
2900,350
2901,340
2902,337
2903,332
2904,327
2905,324
2906,317
2907,315
2908,309
2909,306
2910,303
2911,300
2912,298
2913,293
2914,289
2915,287
2916,284
2917,282
2918,279
2919,275
2920,275
2921,272
2922,267
2923,262
2924,255
2925,250
2926,246
2927,244
2928,237
2929,236
2930,231
2931,225
2932,223
2933,216
2934,216
2935,214
2936,209
2937,202
2938,197
2939,191
2940,188
2941,186
2942,181
2943,181
2944,179
2945,174
2946,167
2947,163
2948,158
2949,153
2950,154
2951,154
2952,154
2953,151
2954,145
2955,138
2956,132
2957,127
2958,127
2959,127
2960,126
2961,120
2962,117
2963,110
2964,109
2965,108
2966,108
2967,108
2968,106
2969,105
2970,104
2971,104
2972,104
2973,102
2974,102
2975,102
2976,103
2977,102
2978,104
2979,103
2980,100
2981,95
2982,94
2983,95
2984,96
2985,101
2986,102
2987,102
2988,102
2989,102
2990,100
2991,95
2992,94
2993,89
2994,90
2995,94
2996,95
2997,99
2998,99
2999,98
3000,97
3001,96
3002,93
3003,90
3004,93
